Tweet,Truth,Victor,Alexandre,Sarah,Eliott
i ain't treatin or spoilin no bitch unless she da main main got me fucked up haha who u think u foolin ? let hoes cash you out pimp,1,1,0,0,0
"@user @user These animals are ungrateful invaders. Parasites, sucking off the liberal tit of the host country. #NODACA#BuildTheWall",1,1,0,0,0
Join American Sheriffs to Secure Americas Borders! #BuildThatWall,0,0,0,0,0
on bd yo nigga a hoe — on me you a bitch,1,1,0,0,0
"And anyone who says otherwise is either a grade-A asshole or has no idea what they are talking about. Being depressed is a bitch, but...",0,0,0,0,0
@user @user @user Weak amnesty lovers like him will keep voters away from the polls #NoDACA #NoAmnesty,0,0,0,0,0
your home boy your block that you're from boo boo lil hoes you went to school with boo boo bby mama & your new bitch boo boo,0,0,0,0,0
"@user Also, water is wet. #SendThemBack",0,0,0,0,0
@user His whole argument is that it wasn't that bad because mostly gay people died from it. He's a cunt.,0,1,0,0,0
@user calling me selfish bitch is ok   U knw what u r a jealous cunt   Mri life aur barbad na kro   Coz what I'm going thro is I knw,0,1,0,0,0
"@user @user @user @user @user @user @user @user @user @user @user @user @user I am a #ProudAmerican that supports #TrumpTrain because he puts #AmericaFirst and wants to #BuildThatWall #KAG #BoycottTheNFL #ILoveYourPresident join me""I Love Your President"" give it a listen.",0,0,0,0,0
Update: Blocked the bitch. Fuck that cunt.,1,1,0,0,0
Exactly Vote. #WalkAway #ConfirmJudgeKavanaugh #Conservatives #IRS #Military #DrainTheSwamp #Russiagate #FreeSpeech #IranianPeople #BackTheBlue #Benghazi #BrettKavanaugh #BuildThatWall #MAGA #Trump2020 #Patriots #tcot #TrumpSupporters #TrumpTrain,0,0,0,0,0
@user @user @user who love illegal aliens. You all have more blood on your hands. You have betrayed America.#ILLEGALimmigrants,0,0,0,0,0
"@user He should be careful about that if there are women in his family, because that bitch Karma has a funny sense of humor.",0,0,0,0,0
Idk who that big nose whore is but you can hop off my ass bitch,1,1,0,0,0
"This whole ""love will find you if you wait"" is some bs. Bitch I been waiting my whole life and to whenI look for love I still can't find it",0,0,0,0,0
I hate that I fuck with you because you more than just a hoe like bitch the stores I hear the shit I see one day you going get aids 😴,1,1,0,0,0
"@user You and your followers had your shot to appoint #SCOTUS and lost. #Deplorables have spoken with their vote. #BuildThatWall shut down #PlannedParenthood, end #chainmigration replace #ImmigrationLottery #UnredactedFISAdocuments investigate #UraniumOne",0,0,0,0,0
"@user Illegals Dump their Kids at the border like Road Kill and Refuse to Unite! They Hope they get Amnesty, Free Education and Welfare Illegal #FamilesBelongTogether in their Country not on the Taxpayer Dime Its a SCAM #NoDACA #NoAmnesty #SendThemBack",1,0,0,0,0
@user @user @user #SendThemBack I will contribute to the plane fare. No joke.,0,0,0,0,0
@user Just a whiney cunt bitch of a wife,1,1,0,0,0
"@user @user 45 only hates chain migration when it involves brown people. He also believes that he and his family are special & above having to adhere to the same laws as the rest of us. So, no surprise there! He bought Melania a Genius Visa, so none of them belong here. #SendThemHome",0,0,0,0,0
NOTE every lib/progressive F-Trump Resister-Hater keeps the tax cut & bonusses received due to #POTUS 2017 tax package.Vote DEM in Nov? See how much smaller their take-home check becomes.No borders? Depress those wages!#MAGA #KAG #WalkAway #NEWS #VoteRed #NoDACA #Trump,0,0,0,0,0
Oh hell no send the whole plane back smh #jfk #sickpeople #runningfever #nyc #dubai #sendthemback,1,1,0,0,0
"You ruined the NBA you underweight, no hoes having, bitch @user",0,1,0,0,0
#Socialism always fails one way or the other..Why some want this for America is being stupid.#BuildThatWall #MAGA,0,0,0,0,0
@user BITCH!!! KJSLK:DJSLKDJ THE ANIMATION IS SO GOOD! THE WHOLE VOICE CAST!! I AM SUDDENLY A KID AGAIN???,0,0,0,0,0
Bitch you can go around me I'm not moving dumb hoe,1,1,0,0,0
THE WALL: House Dems BEG Secretary Mattis to BAIL on $450m Border Wall Project #BuildThatWall,0,0,0,0,0
@user You dirty bitch,1,1,0,0,0
"@user She is friend with an African? I bet she was and is still pro-rapefugee. Otherwise you aren't standing there with an African beside you. Sorry, but you wanted this. You are now afraid. I don't care for traitors like you, who did nothing when things could have changed. Bye bye.",1,0,0,0,0
@user @user @user Imagine THE SIZEof THAT RED WAVE !!GOD BLESS TRUMP!Build That Wall#BuildThatWall Plz share..,0,0,0,0,0
EVERY DAMN DAY REPORTED A CHILD RAPED BY AN ILLEGAL. AM SHOUTING ALL CAPS BECAUSE TODAY IT WAS TWO REPORTED. THE OTHER IN ALABAMA. @user THIS IS ON YOU! #BuildThatWall,1,0,0,0,0
"I can never have a conversation  with my best friend without calling her ""bitch"" or ""hoe"" 😭❤️ coz I mean dassss my bitch ❤️😃😍",0,0,0,0,0
"Bitch you got hoe mentalities, lol, word from the Don",1,0,0,0,0
You be chasing them hoes fuck what a bitch think,1,1,0,0,0
@user This is what the media does. Threats and banning free speech. #TrumpTrain #RedWave #MAGA #BuildThatWall #AmericaFirst #FakeNews,0,0,0,0,0
#BuildThatWall Ted Cruz has a plan on how to help Republicans win BIG in November!,0,0,0,0,0
I got Christmas Law and the Doflamingo sugo-rare and they called me bitch and whore and sexually harassed me LOL.,0,0,0,0,0
If it's called face time bitch I wanna see yo face the whole damn time 😂😂😂😂,0,0,0,0,0
Even muslim children are pieces of shit. #deportthemall #nomuslimcanbetrusted #fuckislam!,1,1,0,0,0
"@user Make sure that these so called refugees don't board those boats, so you don't have to ferry them to Europe where they are not wanted nor needed. Let them build up their own countries, not destroy ours.#sendthemback it's not late to save Europe",1,0,0,0,0
@user Just received my copy of MAD POLITICSLooking forward to a Mad Politics weekend & your great perspective Dr. Gina!#MAGA #KAG #POTUS #Trump #NEWS #VoteRed #NoDACA #WalkAway #AmericaFirst #USA #BackTheBlue #AllLivesMatter #DrainTheSwamp #LiberalismIsAMentalDisorder,0,0,0,0,0
@user @user @user @user @user Holy Guacamole..socialism at its finest..#BuildThatWall @user,0,0,0,0,0
Im sorry but i gotta revisit this. Wtf. That shit canoed like a bitch. I bet its a grape swisher 😭,0,0,0,0,0
Left-Green party of Amsterdam Council wants to accept all fakefugee/rapefugee boats. Amsterdam is a member of the Cities without fear (seriously)The same day news of Amsterdam Dutch kids being extorted by kids from other culture @user @user @user,0,0,0,0,0
"Do I have a favourite track? The whole album, bitch.     #LustForLife",0,0,0,0,0
"""If a chick isn't a virgin before marriage, kill her.""""If a chick disobeys her father or husband, beat her"".""Only whores don't wear veils""- Religion of Lurv.Modern Firang Krischans are cucked LARPers and that's why their wahmyn are preferring to go to rapefugee camps.",0,0,0,0,0
"#FakeRefugees #AsylumAbusers #IllegalAliens #Migrants all need to be #Deported. Other countries are doing by the thous & we must to. America can no longer be a doormat & bank for these disrespectful, demanding, greedy people. If they can overrun our country, they can fix theirs",1,0,0,0,0
"@user @user @user @user This waste of Money must be stopped!!!  #NoMoreRefugees   Keep telling us how SS is going Broke, while you toss $ out the window!! Stop p—-ing. on our backs & telling us it’s Raining!",1,0,0,0,0
I #want me🙌 and I will do anything to #keep me✨💯 & Fuck any cock-sucking sum #bitch or #whore who does not feel da same👌 #JUDAS,1,1,0,0,0
@user Agree with you 100% #BuildThatWall #MAGA #ImmigrationReform,0,0,0,0,0
"@user @user Bitch, I'm fun for the whole goddamned family",0,0,0,0,0
"Rich as my bitch on the side hoe I got more than you know, HOE I GOT.! Look watch",1,0,0,0,0
#FactCheck the #LeftistHypocrisy is staggering #CryingChuck #GoNancyGo #MaxineVirus #Schiffy #BuildTheWall #DeportThemAll #SchumerShutdown never will we forget #NoAmnesty #NiDACA #EndSanctuaryCities #EndVisaLottery #EndChainMigration #StopTheInvasion #AfternoonExpress,0,0,0,0,0
"Fuck those ultra liberal cunt rags on ""The View"". They should be careful of what they say. They're hateful bitches pushing tainted agendas.",1,0,0,0,0
"Many of these were in El Paso, home town of Beto ORourke running for Senate. He campaigns for open borders. 25 illegals this week dropped off at Walmart to load into Semis more from stash houses. This why Texas needs @user stop human smuggling.#BuildThatWall",1,0,0,0,0
"@user @user @user Well, I think a wench comes from renaissance - ""whore""  Seemed out of line to me.",0,0,0,0,0
Liberals FURIOUS over this Trump promiseGood#DeportThemAll now & #BuildThatWall,0,0,0,0,0
@user That's AWESOME! it's time to #abortobamacare #ConfirmJudgeKavanaugh @user is doing EXACTLY what we hired him to do! Thanks @user #BuildThatWall #MAGA,0,0,0,0,0
"the crazy part is, y'all be moving on soooo quick. out here talking to a new bitch the next day. you are a straight burnt out hoe LMAAAO.",0,0,0,0,0
NIGGA IM HOOOOTTTTTTT DONT SPEAK ON ME YOU BITCH ASS NIGGA ... NIGGAS DIE FOR THAT SHIT YOU READY FOR THAT LIFE HOE ASS NIGGA,0,1,0,0,0
Let's start tagging our Tweets with #IllegalAliens every time we Tweet about border issues.,0,0,0,0,0
"@user ""How many times do I have to tell you; I speak English. Not bitch, not whore nothing besides English.""",0,1,0,0,0
@user I have an idea. #BuildThatWall Detention centers would be reduced dramatically if not eliminated. Problem solved.,0,0,0,0,0
@user @user @user @user @user @user you don't know me to call me a whore bitch.,0,1,0,0,0
@user @user @user leave my bitch alone people make mistakes so stfu a go somewhere you big shoe lookin ass mf,0,1,0,0,0
"That ""date rape is a grey area"" shit was the final nail in her fucking coffin. That dumb bitch is over.",1,0,0,0,0
